Tag	GO Term	GO Name	GO Category	Adj. P-value	P-value	Nr Test	Nr Reference	Not Annot Test	Not Annot Ref
UNDER	GO:0031408	oxylipin biosynthetic process	BP_ARGOT	1	1	0	0	1	14
UNDER	GO:0006556	S-adenosylmethionine biosynthetic process	BP_ARGOT	1	1	0	0	1	14
UNDER	GO:0006357	regulation of transcription by RNA polymerase II	BP_ARGOT	1	1	0	0	1	14
UNDER	GO:0009646	response to absence of light	BP_ARGOT	1	1	0	0	1	14
UNDER	GO:1901000	regulation of response to salt stress	BP_ARGOT	1	1	0	0	1	14
UNDER	GO:1900150	regulation of defense response to fungus	BP_ARGOT	1	1	0	0	1	14
UNDER	GO:0009788	negative regulation of abscisic acid-activated signaling pathway	BP_ARGOT	1	0.92	0	1	1	14
UNDER	GO:0009651	response to salt stress	BP_ARGOT	1	1	0	0	1	14
UNDER	GO:0009414	response to water deprivation	BP_ARGOT	1	1	0	0	1	14
UNDER	GO:0009737	response to abscisic acid	BP_ARGOT	1	0.92	0	1	1	14
UNDER	GO:0055085	transmembrane transport	BP_ARGOT	1	1	0	0	1	14
UNDER	GO:0006749	glutathione metabolic process	BP_ARGOT	1	1	0	0	1	14
UNDER	GO:0009407	toxin catabolic process	BP_ARGOT	1	1	0	0	1	14
UNDER	GO:0048767	root hair elongation	BP_ARGOT	1	1	0	0	1	14
UNDER	GO:0046856	phosphatidylinositol dephosphorylation	BP_ARGOT	1	1	0	0	1	14
UNDER	GO:0051315	attachment of mitotic spindle microtubules to kinetochore	BP_ARGOT	1	1	0	0	1	14
UNDER	GO:0051301	cell division	BP_ARGOT	1	0.92	0	1	1	14
UNDER	GO:0009620	response to fungus	BP_ARGOT	1	1	0	0	1	14
UNDER	GO:0051762	sesquiterpene biosynthetic process	BP_ARGOT	1	1	0	0	1	14
UNDER	GO:0005975	carbohydrate metabolic process	BP_ARGOT	1	1	0	0	1	14
UNDER	GO:0044282	small molecule catabolic process	BP_ARGOT	1	1	0	0	1	14
UNDER	GO:0015910	long-chain fatty acid import into peroxisome	BP_ARGOT	1	1	0	0	1	14
UNDER	GO:0042760	very long-chain fatty acid catabolic process	BP_ARGOT	1	1	0	0	1	14
UNDER	GO:0007031	peroxisome organization	BP_ARGOT	1	1	0	0	1	14
UNDER	GO:0006635	fatty acid beta-oxidation	BP_ARGOT	1	1	0	0	1	14
UNDER	GO:1990481	mRNA pseudouridine synthesis	BP_ARGOT	1	1	0	0	1	14
UNDER	GO:0006400	tRNA modification	BP_ARGOT	1	1	0	0	1	14
UNDER	GO:0048316	seed development	BP_ARGOT	1	1	0	0	1	14
UNDER	GO:0002238	response to molecule of fungal origin	BP_ARGOT	1	1	0	0	1	14
UNDER	GO:0009805	coumarin biosynthetic process	BP_ARGOT	1	1	0	0	1	14
UNDER	GO:0035556	intracellular signal transduction	BP_ARGOT	1	1	1	1	1	14
UNDER	GO:0006313	DNA transposition	BP_ARGOT	1	1	0	0	1	14
UNDER	GO:0006281	DNA repair	BP_ARGOT	1	1	0	0	1	14
UNDER	GO:2000001	regulation of DNA damage checkpoint	BP_ARGOT	1	1	0	0	1	14
UNDER	GO:0006294	nucleotide-excision repair, preincision complex assembly	BP_ARGOT	1	1	0	0	1	14
UNDER	GO:0006367	transcription initiation at RNA polymerase II promoter	BP_ARGOT	1	1	0	0	1	14
UNDER	GO:0010623	programmed cell death involved in cell development	BP_ARGOT	1	0.92	0	1	1	14
UNDER	GO:0019432	triglyceride biosynthetic process	BP_ARGOT	1	1	0	0	1	14
UNDER	GO:0006520	amino acid metabolic process	BP_ARGOT	1	1	0	0	1	14
UNDER	GO:1901695	tyramine biosynthetic process	BP_ARGOT	1	1	0	0	1	14
UNDER	GO:0009611	response to wounding	BP_ARGOT	1	1	0	0	1	14
UNDER	GO:0016042	lipid catabolic process	BP_ARGOT	1	1	0	0	1	14
UNDER	GO:0009584	detection of visible light	BP_ARGOT	1	1	0	0	1	14
UNDER	GO:0006355	regulation of DNA-templated transcription	BP_ARGOT	1	0.92	0	1	1	14
UNDER	GO:0009753	response to jasmonic acid	BP_ARGOT	1	1	0	0	1	14
UNDER	GO:0140546	defense response to symbiont	BP_ARGOT	1	1	0	0	1	14
UNDER	GO:1990961	xenobiotic detoxification by transmembrane export across the plasma membrane	BP_ARGOT	1	1	0	0	1	14
UNDER	GO:0010608	post-transcriptional regulation of gene expression	BP_ARGOT	1	1	0	0	1	14
UNDER	GO:0098655	monoatomic cation transmembrane transport	BP_ARGOT	1	1	0	0	1	14
UNDER	GO:0032055	negative regulation of translation in response to stress	BP_ARGOT	1	1	0	0	1	14
UNDER	GO:0008285	negative regulation of cell population proliferation	BP_ARGOT	1	1	0	0	1	14
UNDER	GO:0048367	shoot system development	BP_ARGOT	1	1	0	0	1	14
UNDER	GO:0097250	mitochondrial respirasome assembly	BP_ARGOT	1	1	0	0	1	14
UNDER	GO:0007059	chromosome segregation	BP_ARGOT	1	1	0	0	1	14
UNDER	GO:0006413	translational initiation	BP_ARGOT	1	1	0	0	1	14
UNDER	GO:0009773	photosynthetic electron transport in photosystem I	BP_ARGOT	1	0.92	0	1	1	14
UNDER	GO:0046274	lignin catabolic process	BP_ARGOT	1	1	0	0	1	14
UNDER	GO:0007004	telomere maintenance via telomerase	BP_ARGOT	1	1	0	0	1	14
UNDER	GO:0007140	male meiotic nuclear division	BP_ARGOT	1	1	0	0	1	14
UNDER	GO:0006289	nucleotide-excision repair	BP_ARGOT	1	1	0	0	1	14
UNDER	GO:0000724	double-strand break repair via homologous recombination	BP_ARGOT	1	1	0	0	1	14
UNDER	GO:0006260	DNA replication	BP_ARGOT	1	1	0	0	1	14
UNDER	GO:0042545	cell wall modification	BP_ARGOT	1	1	0	0	1	14
UNDER	GO:0045490	pectin catabolic process	BP_ARGOT	1	1	0	0	1	14
UNDER	GO:0006351	DNA-templated transcription	BP_ARGOT	1	1	0	0	1	14
UNDER	GO:0051865	protein autoubiquitination	BP_ARGOT	1	1	0	0	1	14
UNDER	GO:0045732	positive regulation of protein catabolic process	BP_ARGOT	1	1	0	0	1	14
UNDER	GO:0072593	reactive oxygen species metabolic process	BP_ARGOT	1	1	0	0	1	14
UNDER	GO:0045037	protein import into chloroplast stroma	BP_ARGOT	1	1	0	0	1	14
UNDER	GO:0003333	amino acid transmembrane transport	BP_ARGOT	1	1	0	0	1	14
UNDER	GO:0048268	clathrin coat assembly	BP_ARGOT	1	1	0	0	1	14
UNDER	GO:0072583	clathrin-dependent endocytosis	BP_ARGOT	1	1	0	0	1	14
UNDER	GO:0012501	programmed cell death	BP_ARGOT	1	1	0	0	1	14
UNDER	GO:0006955	immune response	BP_ARGOT	1	1	0	0	1	14
UNDER	GO:0033554	cellular response to stress	BP_ARGOT	1	1	0	0	1	14
UNDER	GO:0006885	regulation of pH	BP_ARGOT	1	1	0	0	1	14
UNDER	GO:0030042	actin filament depolymerization	BP_ARGOT	1	1	0	0	1	14
UNDER	GO:0007266	Rho protein signal transduction	BP_ARGOT	1	1	0	0	1	14
UNDER	GO:0070828	heterochromatin organization	BP_ARGOT	1	1	0	0	1	14
UNDER	GO:0045814	negative regulation of gene expression, epigenetic	BP_ARGOT	1	1	0	0	1	14
UNDER	GO:0022607	cellular component assembly	BP_ARGOT	1	1	0	0	1	14
UNDER	GO:0006796	phosphate-containing compound metabolic process	BP_ARGOT	1	1	0	0	1	14
UNDER	GO:0010019	chloroplast-nucleus signaling pathway	BP_ARGOT	1	1	0	0	1	14
UNDER	GO:0031930	mitochondria-nucleus signaling pathway	BP_ARGOT	1	1	0	0	1	14
UNDER	GO:0007005	mitochondrion organization	BP_ARGOT	1	1	0	0	1	14
UNDER	GO:0006396	RNA processing	BP_ARGOT	1	1	0	0	1	14
UNDER	GO:0051923	sulfation	BP_ARGOT	1	1	0	0	1	14
UNDER	GO:0010200	response to chitin	BP_ARGOT	1	1	0	0	1	14
UNDER	GO:0006950	response to stress	BP_ARGOT	1	1	0	0	1	14
UNDER	GO:0071031	nuclear mRNA surveillance of mRNA 3'-end processing	BP_ARGOT	1	1	0	0	1	14
UNDER	GO:0071036	nuclear polyadenylation-dependent snoRNA catabolic process	BP_ARGOT	1	1	0	0	1	14
UNDER	GO:0071037	nuclear polyadenylation-dependent snRNA catabolic process	BP_ARGOT	1	1	0	0	1	14
UNDER	GO:0071039	nuclear polyadenylation-dependent CUT catabolic process	BP_ARGOT	1	1	0	0	1	14
UNDER	GO:0071035	nuclear polyadenylation-dependent rRNA catabolic process	BP_ARGOT	1	1	0	0	1	14
UNDER	GO:0071038	TRAMP-dependent tRNA surveillance pathway	BP_ARGOT	1	1	0	0	1	14
UNDER	GO:0006094	gluconeogenesis	BP_ARGOT	1	1	0	0	1	14
UNDER	GO:0006096	glycolytic process	BP_ARGOT	1	1	0	0	1	14
UNDER	GO:0051156	glucose 6-phosphate metabolic process	BP_ARGOT	1	1	0	0	1	14
UNDER	GO:0009865	pollen tube adhesion	BP_ARGOT	1	1	0	0	1	14
UNDER	GO:0032259	methylation	BP_ARGOT	1	0.92	0	1	1	14
UNDER	GO:0033540	fatty acid beta-oxidation using acyl-CoA oxidase	BP_ARGOT	1	1	0	0	1	14
UNDER	GO:0055088	lipid homeostasis	BP_ARGOT	1	1	0	0	1	14
UNDER	GO:0010208	pollen wall assembly	BP_ARGOT	1	1	0	0	1	14
UNDER	GO:0030639	polyketide biosynthetic process	BP_ARGOT	1	1	0	0	1	14
UNDER	GO:0010597	green leaf volatile biosynthetic process	BP_ARGOT	1	1	0	0	1	14
UNDER	GO:0046475	glycerophospholipid catabolic process	BP_ARGOT	1	1	0	0	1	14
UNDER	GO:0006071	glycerol metabolic process	BP_ARGOT	1	1	0	0	1	14
UNDER	GO:0009101	glycoprotein biosynthetic process	BP_ARGOT	1	1	0	0	1	14
UNDER	GO:0046963	3'-phosphoadenosine 5'-phosphosulfate transport	BP_ARGOT	1	1	0	0	1	14
UNDER	GO:1901679	nucleotide transmembrane transport	BP_ARGOT	1	1	0	0	1	14
UNDER	GO:0072530	purine-containing compound transmembrane transport	BP_ARGOT	1	1	0	0	1	14
UNDER	GO:0043408	regulation of MAPK cascade	BP_ARGOT	1	1	0	0	1	14
UNDER	GO:0030203	glycosaminoglycan metabolic process	BP_ARGOT	1	1	0	0	1	14
UNDER	GO:0033355	ascorbate glutathione cycle	BP_ARGOT	1	1	0	0	1	14
UNDER	GO:0098869	cellular oxidant detoxification	BP_ARGOT	1	1	0	0	1	14
UNDER	GO:0016114	terpenoid biosynthetic process	BP_ARGOT	1	1	0	0	1	14
UNDER	GO:0016101	diterpenoid metabolic process	BP_ARGOT	1	1	0	0	1	14
UNDER	GO:0010227	floral organ abscission	BP_ARGOT	1	1	0	0	1	14
UNDER	GO:0071569	protein ufmylation	BP_ARGOT	1	1	0	0	1	14
UNDER	GO:0032434	regulation of proteasomal ubiquitin-dependent protein catabolic process	BP_ARGOT	1	1	0	0	1	14
UNDER	GO:0034976	response to endoplasmic reticulum stress	BP_ARGOT	1	1	0	0	1	14
