id,sp,profundidad_sustrato,peso_resto,peso_winrhizo
371,medicago,14.9,0.2926,0.0644
373,medicago,15.1,0.1853,0.0130
374,medicago,15.2,0.0342,0.1258
376,medicago,14.8,0.3663,0.0145
378,medicago,13.8,0.2069,0.0543
379,medicago,15,0.2136,0.0218
380,medicago,14.5,0.0526,0.0396
383,medicago,14.6,0.1711,0.0132
384,medicago,14.2,0.1307,0.0085
386,medicago,15,0.2586,0.0291
387,medicago,14.5,0.2447,0.0237
389,medicago,14.5,0.0022,0.0221
390,medicago,14.7,0.5263,0.0130
393,medicago,14.4,0.0157,0.0651
396,medicago,15.5,0.3324,0.0239
397,medicago,15.1,0.5110,0.0223
398,medicago,15.5,0.5266,0.0196
399,medicago,13.8,0.1774,0.0212
400,medicago,14,0.4159,0.0166
401,medicago,13.5,,0.0228
402,medicago,14.8,0.1213,0.0151
403,medicago,14.3,0.0772,0.0346
404,medicago,14.3,0.2770,0.0163
406,medicago,13.9,0.0412,0.0546
407,medicago,13.5,0.3305,0.0180
409,medicago,14.5,0.3233,0.0129
410,medicago,14.2,0.1098,0.0387
411,medicago,14.5,0.0124,0.0415
412,medicago,14.3,0.1471,0.0719
413,medicago,15.2,0.1659,0.0962
414,medicago,14.1,0.2988,0.0579
415,medicago,15.3,0.0588,0.067
418,medicago,15,0.5090,0.0148
