Tag	GO Term	GO Name	GO Category	Adj. P-value	P-value	Nr Test	Nr Reference	Not Annot Test	Not Annot Ref
	GO:0007267	cell-cell signaling	BIOLOGICAL_PROCESS	1.0	0.9999999983338067	0.0	13.0	246.0	817494.0
	GO:0021700	developmental maturation	BIOLOGICAL_PROCESS	1.0	0.9999999998204392	0.0	31.0	246.0	817476.0
	GO:0005886	plasma membrane	CELLULAR_COMPONENT	1.0	1.0000000042240746	4.0	15943.0	242.0	801564.0
	GO:0040007	growth	BIOLOGICAL_PROCESS	1.0	0.9999999902001085	0.0	619.0	246.0	816888.0
	GO:0065009	regulation of molecular function	BIOLOGICAL_PROCESS	1.0	1.0000000031201293	0.0	24.0	246.0	817483.0
	GO:0005764	lysosome	CELLULAR_COMPONENT	1.0	0.9999999926507659	0.0	117.0	246.0	817390.0
	GO:0005635	nuclear envelope	CELLULAR_COMPONENT	1.0	1.0000000009638506	0.0	411.0	246.0	817096.0
	GO:0005634	nucleus	CELLULAR_COMPONENT	1.0	1.0000000019033424	3.0	12898.0	243.0	804609.0
	GO:0009838	abscission	BIOLOGICAL_PROCESS	1.0	0.9999999973397308	0.0	18.0	246.0	817489.0
	GO:0005515	protein binding	MOLECULAR_FUNCTION	1.0	0.9999999862762522	2.0	9123.0	244.0	808384.0
	GO:0009719	response to endogenous stimulus	BIOLOGICAL_PROCESS	1.0	0.9999999977595114	0.0	2160.0	246.0	815347.0
	GO:0031981	nuclear lumen	CELLULAR_COMPONENT	1.0	0.9999999966680629	0.0	1575.0	246.0	815932.0
	GO:0031982	vesicle	CELLULAR_COMPONENT	1.0	1.0000000026226712	0.0	659.0	246.0	816848.0
	GO:0008289	lipid binding	MOLECULAR_FUNCTION	1.0	0.9999999903982546	0.0	1119.0	246.0	816388.0
	GO:0005576	extracellular region	CELLULAR_COMPONENT	1.0	0.5280637963841782	1.0	2491.0	245.0	815016.0
	GO:0005730	nucleolus	CELLULAR_COMPONENT	1.0	1.0000000048565991	0.0	958.0	246.0	816549.0
	GO:0009416	response to light stimulus	BIOLOGICAL_PROCESS	1.0	1.0000000136565184	0.0	1746.0	246.0	815761.0
	GO:0003700	DNA-binding transcription factor activity	MOLECULAR_FUNCTION	1.0	0.9999999915846748	1.0	4241.0	245.0	813266.0
	GO:0019222	regulation of metabolic process	BIOLOGICAL_PROCESS	1.0	1.0000000097002633	0.0	365.0	246.0	817142.0
	GO:0031974	membrane-enclosed lumen	CELLULAR_COMPONENT	1.0	0.9999999966680629	0.0	1575.0	246.0	815932.0
	GO:0030246	carbohydrate binding	MOLECULAR_FUNCTION	1.0	0.9999999962338598	0.0	2288.0	246.0	815219.0
	GO:0019725	cellular homeostasis	BIOLOGICAL_PROCESS	1.0	0.99999999566097	0.0	2082.0	246.0	815425.0
	GO:0060255	regulation of macromolecule metabolic process	BIOLOGICAL_PROCESS	1.0	1.0000000097002633	0.0	365.0	246.0	817142.0
	GO:0090567	reproductive shoot system development	BIOLOGICAL_PROCESS	1.0	1.0000000074677715	0.0	371.0	246.0	817136.0
	GO:0003682	chromatin binding	MOLECULAR_FUNCTION	1.0	1.0000000000326918	0.0	536.0	246.0	816971.0
	GO:0043412	macromolecule modification	BIOLOGICAL_PROCESS	1.0	1.0000000005257481	0.0	2709.0	246.0	814798.0
	GO:0000323	lytic vacuole	CELLULAR_COMPONENT	1.0	0.9999999926507659	0.0	117.0	246.0	817390.0
	GO:0006950	response to stress	BIOLOGICAL_PROCESS	1.0	0.4564194101873138	2.0	14240.0	244.0	803267.0
	GO:0040029	epigenetic regulation of gene expression	BIOLOGICAL_PROCESS	1.0	1.0000000097002633	0.0	365.0	246.0	817142.0
	GO:0031967	organelle envelope	CELLULAR_COMPONENT	1.0	1.0000000009638506	0.0	411.0	246.0	817096.0
	GO:0005856	cytoskeleton	CELLULAR_COMPONENT	1.0	1.0000000009950314	0.0	1302.0	246.0	816205.0
	GO:0005618	cell wall	CELLULAR_COMPONENT	1.0	0.999999992108394	0.0	331.0	246.0	817176.0
	GO:0030234	enzyme regulator activity	MOLECULAR_FUNCTION	1.0	0.9999999930665252	0.0	1570.0	246.0	815937.0
	GO:0071944	cell periphery	CELLULAR_COMPONENT	1.0	0.9999999932933655	4.0	16282.0	242.0	801225.0
	GO:0036211	protein modification process	BIOLOGICAL_PROCESS	1.0	1.0000000005257481	0.0	2709.0	246.0	814798.0
	GO:0005794	Golgi apparatus	CELLULAR_COMPONENT	1.0	0.9999999994961883	0.0	1953.0	246.0	815554.0
	GO:0042579	microbody	CELLULAR_COMPONENT	1.0	1.0000000055362983	0.0	1355.0	246.0	816152.0
	GO:0003774	cytoskeletal motor activity	MOLECULAR_FUNCTION	1.0	0.9999999968230996	0.0	537.0	246.0	816970.0
	GO:0003006	developmental process involved in reproduction	BIOLOGICAL_PROCESS	1.0	1.0000000016105084	0.0	402.0	246.0	817105.0
	GO:0009628	response to abiotic stimulus	BIOLOGICAL_PROCESS	1.0	1.0000000068612664	1.0	3749.0	245.0	813758.0
	GO:0098772	molecular function regulator activity	MOLECULAR_FUNCTION	1.0	0.9999999930665252	0.0	1570.0	246.0	815937.0
	GO:0071695	anatomical structure maturation	BIOLOGICAL_PROCESS	1.0	0.9999999998204392	0.0	31.0	246.0	817476.0
	GO:0009908	flower development	BIOLOGICAL_PROCESS	1.0	1.0000000074677715	0.0	371.0	246.0	817136.0
	GO:0019825	oxygen binding	MOLECULAR_FUNCTION	1.0	0.9999999932293651	0.0	164.0	246.0	817343.0
	GO:0048608	reproductive structure development	BIOLOGICAL_PROCESS	1.0	1.0000000016105084	0.0	402.0	246.0	817105.0
	GO:0007623	circadian rhythm	BIOLOGICAL_PROCESS	1.0	0.9999999939155313	0.0	177.0	246.0	817330.0
	GO:0009889	regulation of biosynthetic process	BIOLOGICAL_PROCESS	1.0	1.0000000097002633	0.0	365.0	246.0	817142.0
	GO:0045182	translation regulator activity	MOLECULAR_FUNCTION	1.0	1.000000000855909	0.0	2.0	246.0	817505.0
	GO:0048731	system development	BIOLOGICAL_PROCESS	1.0	1.0000000016105084	0.0	402.0	246.0	817105.0
	GO:0042592	homeostatic process	BIOLOGICAL_PROCESS	1.0	0.99999999566097	0.0	2082.0	246.0	815425.0
	GO:0016043	cellular component organization	BIOLOGICAL_PROCESS	1.0	1.0000000010122527	3.0	12580.0	243.0	804927.0
	GO:0010468	regulation of gene expression	BIOLOGICAL_PROCESS	1.0	1.0000000097002633	0.0	365.0	246.0	817142.0
	GO:0071840	cellular component organization or biogenesis	BIOLOGICAL_PROCESS	1.0	1.0000000010122527	3.0	12580.0	243.0	804927.0
	GO:0016049	cell growth	BIOLOGICAL_PROCESS	1.0	1.0000000002911964	0.0	397.0	246.0	817110.0
	GO:0007275	multicellular organism development	BIOLOGICAL_PROCESS	1.0	0.6313351701686767	0.0	3358.0	246.0	814149.0
	GO:0005773	vacuole	CELLULAR_COMPONENT	1.0	1.0000000045709758	0.0	963.0	246.0	816544.0
	GO:0009856	pollination	BIOLOGICAL_PROCESS	1.0	0.9999999939807656	0.0	195.0	246.0	817312.0
	GO:0005654	nucleoplasm	CELLULAR_COMPONENT	1.0	0.9999999970162098	0.0	734.0	246.0	816773.0
	GO:0009607	response to biotic stimulus	BIOLOGICAL_PROCESS	1.0	0.9999999959553623	1.0	3366.0	245.0	814141.0
	GO:0009606	tropism	BIOLOGICAL_PROCESS	1.0	0.9999999891031357	0.0	115.0	246.0	817392.0
	GO:0006338	chromatin remodeling	BIOLOGICAL_PROCESS	1.0	1.0000000097002633	0.0	365.0	246.0	817142.0
	GO:0009605	response to external stimulus	BIOLOGICAL_PROCESS	1.0	0.9999999961255254	1.0	5000.0	245.0	812507.0
	GO:0005768	endosome	CELLULAR_COMPONENT	1.0	1.0000000026226712	0.0	659.0	246.0	816848.0
	GO:0010556	regulation of macromolecule biosynthetic process	BIOLOGICAL_PROCESS	1.0	1.0000000097002633	0.0	365.0	246.0	817142.0
	GO:0031410	cytoplasmic vesicle	CELLULAR_COMPONENT	1.0	1.0000000026226712	0.0	659.0	246.0	816848.0
	GO:0097708	intracellular vesicle	CELLULAR_COMPONENT	1.0	1.0000000026226712	0.0	659.0	246.0	816848.0
	GO:0032501	multicellular organismal process	BIOLOGICAL_PROCESS	1.0	0.6317907345884337	0.0	3495.0	246.0	814012.0
	GO:0044706	multi-multicellular organism process	BIOLOGICAL_PROCESS	1.0	0.9999999939807656	0.0	195.0	246.0	817312.0
	GO:0005783	endoplasmic reticulum	CELLULAR_COMPONENT	1.0	1.000000006158987	0.0	2796.0	246.0	814711.0
	GO:0048869	cellular developmental process	BIOLOGICAL_PROCESS	1.0	1.000000002816199	0.0	542.0	246.0	816965.0
	GO:0005777	peroxisome	CELLULAR_COMPONENT	1.0	1.0000000055362983	0.0	1355.0	246.0	816152.0
	GO:0048511	rhythmic process	BIOLOGICAL_PROCESS	1.0	0.9999999939155313	0.0	177.0	246.0	817330.0
	GO:0070013	intracellular organelle lumen	CELLULAR_COMPONENT	1.0	0.9999999966680629	0.0	1575.0	246.0	815932.0
	GO:0030154	cell differentiation	BIOLOGICAL_PROCESS	1.0	1.000000002816199	0.0	542.0	246.0	816965.0
	GO:0030312	external encapsulating structure	CELLULAR_COMPONENT	1.0	0.9999999983926016	0.0	413.0	246.0	817094.0
	GO:0016301	kinase activity	MOLECULAR_FUNCTION	1.0	0.8046189969608283	3.0	14159.0	243.0	803348.0
	GO:0012501	programmed cell death	BIOLOGICAL_PROCESS	1.0	0.9999999966098445	0.0	749.0	246.0	816758.0
